ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
META
AVGO
TSLA
AMD
ADBE
CRM
ORCL
CSCO
QCOM
TXN
INTC
AMAT
MU
NOW
INTU
JPM
BAC
WFC
GS
MS
C
BLK
SCHW
AXP
V
MA
PYPL
UNH
JNJ
LLY
ABBV
MRK
PFE
TMO
ABT
DHR
BMY
AMGN
GILD
CVS
MDT
ISRG
XOM
CVX
COP
SLB
EOG
MPC
PSX
HD
LOW
NKE
SBUX
MCD
TGT
COST
WMT
PG
KO
PEP
PM
MDLZ
CL
CAT
DE
BA
HON
GE
LMT
RTX
UPS
UNP
MMM
EMR
DIS
NFLX
CMCSA
T
VZ
TMUS
LIN
SHW
FCX
NEM
NEE
DUK
SO
PLD
AMT
SPG
